,Bird,City1-Latitude,City1-Longitude,City2-Latitude,City2-Longitude,City3-Latitude,City3-Longitude,City4-Latitude,City4-Longitude,City5-Latitude,City5-Longitude,City6-Latitude,City6-Longitude
12,"Collocalia_vanikorensis, (Aerodramus_vanikorensis)",,,,,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
13,Coragyps_atratus,-40.5733223,-73.1359011,-41.4718121,-72.939621,-41.1334421,-71.3098425,-43.2531242,-65.3094407,46.3144754,11.0480288,46.3144754,11.0480288
14,Coturnix_japonica,7.0026257,100.4577414,10.0451859,105.7448944,10.7715512,106.6983801,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
15,Cyanoramphus_novaezelandiae,22.0757924,-99.07337577,22.2329889,-97.8614802,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
16,Ducula_pistrinaria,,,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
17,Ducula_zoeae,,,,,,,-10.1632209,123.6017755,46.3144754,11.0480288,46.3144754,11.0480288
18,"Eremiornis_carteri, (Megalurus_carteri or Poodytes_carteri)",-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
19,Eremophila_alpestris,18.833333,-98,19.292545,-99.6569007,19.4326296,-99.1331785,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
20,Erythrura_gouldiae,4.4730892,97.9681841,5.1789659,97.1480544,5.5528455,95.3192908,3.5896654,98.6738261,46.3144754,11.0480288,46.3144754,11.0480288
21,Eudyptula_minor,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
22,Geococcyx_californianus,20.5954708,-100.3970593,21.1218598,-101.6825081,19.4326296,-99.1331785,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
23,Geopelia_cuneata,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
24,Geophaps_plumifera,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
25,Hemiphaga_novaeseelandiae,-37.6859006,176.167505,-37.7878809,175.281788,-36.852095,174.7631803,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
26,Lonchura_fuscans,-8.5637593,118.6719665,-8.6524973,115.2191175,-8.6728675,121.6929173,-10.1632209,123.6017755,46.3144754,11.0480288,46.3144754,11.0480288
27,Malurus_cyaneus,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
28,Melopsittacus_undulatus,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
29,Myiopsitta_monachus,-34.9206797,-57.9537638,-34.6075682,-58.4370894,-38.04817495,-57.5419341,-38.7176522,-62.2654871,46.3144754,11.0480288,46.3144754,11.0480288
30,Nestor_notabilis,-46.2195292,167.3617959,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
31,Phalacrocorax_auritus,16.09929985,-88.81032737,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
32,Philetairus_socius,-33.0191604,27.8998573,-33.964444,22.459722,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288,46.3144754,11.0480288
33,Pica_nuttalli,36.6744117,-121.6550372,36.7295295,-119.7088613,34.9531295,-120.4358577,34.4221319,-119.7026673,46.3144754,11.0480288,46.3144754,11.0480288
34,"Pica_pica, (Pica_hudsonia)",38.8339578,-104.8253485,39.7392364,-104.9848623,35.6876096,-105.9384569,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
35,Plocepasser_mahali,-33.0191604,27.8998573,-33.964444,22.459722,-29.861825,31.009909,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288
36,Ptychoramphus_aleuticus,32.6400541,-117.0841955,32.7174202,-117.1627728,32.3648126,-117.055626,32.5010188,-116.964662,31.8658887,-116.6029835,46.3144754,11.0480288
37,Sitta_canadensis,39.7837304,-100.445882,34.5708167,-105.993007,40.5508527,-105.0668085,39.7392364,-104.9848623,38.8339578,-104.8253485,46.3144754,11.0480288
38,Sporophila_corvina,12.1085987,-85.3689381,12.0008289,-86.0513672,12.1459907,-86.2746665,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
39,Sporopipes_squamifrons,-29.861825,31.009909,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
40,Sturnus_vulgaris,18.2345399,-66.0351316,18.011564,-66.613958,18.465299,-66.116666,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
41,Turdoides_squamiceps,13.4115414,43.5570871,12.789585,45.028504,11.8145966,42.8453061,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
42,Tyto_alba,-43.2531242,-65.3094407,-51.6177331,-69.2059514,-51.64607595,-69.26322885,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
